id,beacon1,beacon2,beacon3,location
573,-78,-71,-87,2
574,-999,-999,-999,2
575,-90,-73,-99,2
576,-81,-71,-90,2
577,-87,-70,-93,2
578,-92,-82,-94,2
579,-91,-70,-999,2
580,-91,-75,-96,2
581,-88,-76,-97,2
582,-81,-82,-97,2
583,-999,-999,-999,2
584,-90,-65,-96,2
585,-90,-70,-89,2
586,-89,-67,-96,2
587,-86,-65,-91,2
588,-84,-66,-91,2
589,-999,-999,-999,2
590,-90,-70,-90,2
591,-81,-70,-89,2
592,-81,-65,-95,2
593,-96,-68,-90,2
594,-80,-69,-93,2
595,-90,-68,-90,2
596,-94,-68,-91,2
597,-999,-999,-999,2
598,-82,-65,-93,2
599,-94,-68,-92,2
600,-999,-999,-999,2
601,-999,-999,-999,2
602,-85,-65,-95,2
603,-82,-68,-91,2
604,-91,-68,-92,2
605,-80,-69,-91,2
606,-82,-65,-94,2
607,-91,-68,-90,2
608,-82,-65,-92,2
609,-93,-67,-91,2
610,-81,-69,-92,2
611,-81,-64,-92,2
612,-80,-65,-999,2
613,-82,-65,-999,2
614,-91,-67,-91,2
615,-82,-70,-91,2
616,-82,-65,-999,2
617,-81,-69,-92,2
618,-80,-70,-92,2
619,-91,-68,-90,2
620,-81,-69,-92,2
621,-81,-69,-92,2
622,-88,-68,-90,2
623,-80,-69,-93,2
624,-81,-65,-999,2
625,-90,-68,-90,2
626,-999,-999,-999,2
627,-90,-65,-96,2
628,-90,-68,-90,2
629,-80,-70,-91,2
630,-82,-65,-999,2
631,-81,-69,-91,2
632,-80,-65,-94,2
633,-91,-70,-92,2
634,-999,-69,-91,2
635,-90,-68,-91,2
636,-89,-68,-91,2
637,-83,-65,-94,2
638,-89,-68,-93,2
639,-999,-999,-999,2
640,-82,-65,-92,2
641,-81,-69,-90,2
642,-93,-65,-92,2
643,-80,-69,-91,2
644,-82,-65,-94,2
645,-94,-68,-92,2
646,-80,-69,-91,2
647,-94,-68,-93,2
648,-81,-69,-92,2
649,-82,-65,-94,2
650,-93,-68,-91,2
651,-82,-65,-91,2
652,-91,-68,-90,2
653,-81,-69,-91,2
654,-81,-65,-93,2
655,-82,-70,-90,2
656,-999,-999,-999,2
657,-82,-65,-90,2
658,-91,-68,-92,2
659,-999,-999,-999,2
660,-91,-68,-90,2
661,-81,-69,-91,2
662,-82,-65,-91,2
663,-999,-999,-999,2
664,-81,-65,-93,2
665,-79,-68,-92,2
666,-80,-69,-92,2
667,-82,-65,-92,2
668,-82,-65,-89,2
669,-80,-70,-92,2
670,-999,-68,-90,2
671,-81,-69,-93,2
672,-82,-69,-93,2
673,-94,-68,-90,2
674,-82,-65,-94,2
675,-97,-68,-90,2
676,-81,-69,-92,2
677,-80,-65,-93,2
678,-80,-69,-91,2
679,-81,-65,-92,2
680,-82,-65,-92,2
681,-999,-999,-999,2
682,-93,-67,-90,2
683,-94,-68,-88,2
684,-80,-65,-999,2
685,-94,-68,-91,2
686,-80,-69,-92,2
687,-94,-68,-90,2
688,-80,-69,-92,2
689,-80,-65,-999,2
690,-94,-68,-90,2
691,-999,-999,-999,2
692,-82,-65,-97,2
693,-92,-67,-91,2
694,-97,-68,-90,2
695,-82,-65,-94,2
696,-999,-999,-999,2
697,-80,-70,-92,2
698,-84,-64,-91,2
699,-80,-69,-94,2
700,-999,-999,-999,2
701,-80,-68,-90,2
702,-80,-69,-93,2
703,-84,-69,-97,2
704,-97,-68,-89,2
705,-83,-65,-98,2
706,-83,-65,-91,2
707,-78,-67,-91,2
708,-93,-68,-91,2
709,-79,-69,-92,2
710,-84,-69,-93,2
711,-96,-68,-91,2
712,-78,-70,-92,2
713,-94,-68,-91,2
